stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3029073,663,677,4-1,1,2019-8-9,21:00,1
3029074,711,687,1-1,1,2019-8-10,16:00,1
3029075,698,670,3-0,1,2019-8-10,16:00,1
3029076,679,674,0-0,1,2019-8-10,16:00,1
3029077,682,680,0-0,1,2019-8-11,15:00,1
3029078,675,665,3-1,1,2019-8-10,18:30,1
3029079,696,703,0-3,1,2019-8-10,16:00,1
3029080,684,676,0-5,1,2019-8-10,13:30,1
3029081,662,661,4-0,1,2019-8-11,17:30,1
3029082,664,660,0-1,1,2019-8-11,15:00,1
3029083,660,698,2-1,2,2019-8-17,13:30,1
3029084,665,711,1-2,2,2019-8-17,16:00,1
3029085,703,684,1-1,2,2019-8-17,16:00,1
3029086,661,682,1-1,2,2019-8-18,17:30,1
3029087,674,696,1-0,2,2019-8-17,16:00,1
3029088,676,675,2-2,2,2019-8-17,18:30,1
3029089,677,664,3-1,2,2019-8-17,16:00,1
3029090,687,679,1-0,2,2019-8-18,15:00,1
3029091,670,663,1-2,2,2019-8-17,16:00,1
3029092,680,662,1-1,2,2019-8-19,21:00,1
3029093,711,676,1-3,3,2019-8-25,15:00,1
3029094,665,674,2-0,3,2019-8-23,21:00,1
3029095,703,670,0-2,3,2019-8-24,16:00,1
3029096,663,660,3-1,3,2019-8-24,18:30,1
3029097,662,679,1-2,3,2019-8-24,16:00,1
3029098,677,661,2-3,3,2019-8-24,13:30,1
3029099,687,682,1-2,3,2019-8-24,16:00,1
3029100,675,664,0-1,3,2019-8-25,17:30,1
3029101,696,684,1-3,3,2019-8-24,16:00,1
3029102,680,698,1-1,3,2019-8-25,17:30,1
3029103,660,675,2-2,4,2019-9-1,17:30,1
3029104,698,663,0-3,4,2019-8-31,18:30,1
3029105,661,687,2-2,4,2019-8-31,16:00,1
3029106,679,665,1-0,4,2019-8-31,16:00,1
3029107,674,680,3-2,4,2019-9-1,15:00,1
3029108,682,711,3-1,4,2019-8-31,16:00,1
3029109,676,703,4-0,4,2019-8-31,16:00,1
3029110,664,696,1-1,4,2019-8-31,16:00,1
3029111,670,662,1-1,4,2019-8-31,13:30,1
3029112,684,677,2-0,4,2019-8-31,16:00,1
3029113,711,674,3-1,5,2019-9-15,15:00,1
3029114,665,684,0-0,5,2019-9-16,21:00,1
3029115,703,698,1-1,5,2019-9-14,16:00,1
3029116,663,664,3-1,5,2019-9-14,13:30,1
3029117,662,682,1-0,5,2019-9-14,16:00,1
3029118,677,676,3-2,5,2019-9-14,18:30,1
3029119,687,670,0-1,5,2019-9-14,16:00,1
3029120,675,679,4-0,5,2019-9-14,16:00,1
3029121,696,660,2-2,5,2019-9-15,17:30,1
3029122,680,661,2-5,5,2019-9-14,16:00,1
3029123,660,665,3-2,6,2019-9-22,17:30,1
3029124,698,677,2-0,6,2019-9-21,16:00,1
3029125,661,663,1-2,6,2019-9-22,17:30,1
3029126,679,680,1-1,6,2019-9-22,15:00,1
3029127,674,687,0-2,6,2019-9-21,16:00,1
3029128,682,675,2-1,6,2019-9-21,13:30,1
3029129,676,696,8-0,6,2019-9-21,16:00,1
3029130,664,703,0-0,6,2019-9-21,18:30,1
3029131,670,711,1-3,6,2019-9-20,21:00,1
3029132,684,662,2-0,6,2019-9-22,15:00,1
3029133,711,684,2-2,7,2019-9-28,16:00,1
3029134,665,698,2-2,7,2019-9-28,16:00,1
3029135,661,703,2-0,7,2019-9-28,16:00,1
3029136,679,677,2-0,7,2019-9-28,16:00,1
3029137,674,676,1-3,7,2019-9-28,18:30,1
3029138,682,664,5-0,7,2019-9-29,17:30,1
3029139,662,660,1-1,7,2019-9-30,21:00,1
3029140,687,663,0-1,7,2019-9-28,13:30,1
3029141,675,670,2-1,7,2019-9-28,16:00,1
3029142,680,696,2-0,7,2019-9-28,16:00,1
3029143,660,711,1-0,8,2019-10-6,15:00,1
3029144,703,675,3-0,8,2019-10-5,13:30,1
3029145,698,674,1-0,8,2019-10-5,16:00,1
3029146,663,682,2-1,8,2019-10-5,16:00,1
3029147,676,680,0-2,8,2019-10-6,15:00,1
3029148,664,662,1-0,8,2019-10-6,17:30,1
3029149,677,665,1-5,8,2019-10-5,16:00,1
3029150,670,661,1-4,8,2019-10-6,15:00,1
3029151,696,687,0-0,8,2019-10-5,16:00,1
3029152,684,679,1-2,8,2019-10-5,18:30,1
3029153,711,677,0-0,9,2019-10-19,16:00,1
3029154,665,703,2-1,9,2019-10-19,16:00,1
3029155,661,664,1-0,9,2019-10-19,16:00,1
3029156,679,676,0-2,9,2019-10-19,18:30,1
3029157,674,684,2-0,9,2019-10-19,13:30,1
3029158,682,698,2-1,9,2019-10-19,16:00,1
3029159,662,663,1-1,9,2019-10-20,17:30,1
3029160,687,660,1-0,9,2019-10-21,21:00,1
3029161,675,696,1-1,9,2019-10-19,16:00,1
3029162,680,670,1-1,9,2019-10-19,16:00,1
3029163,660,679,2-2,10,2019-10-27,17:30,1
3029164,703,674,3-2,10,2019-10-26,16:00,1
3029165,698,661,2-4,10,2019-10-26,18:30,1
3029166,663,675,2-1,10,2019-10-27,17:30,1
3029167,676,665,3-0,10,2019-10-26,13:30,1
3029168,664,680,1-1,10,2019-10-27,15:00,1
3029169,677,662,1-3,10,2019-10-27,17:30,1
3029170,670,682,0-9,10,2019-10-25,21:00,1
3029171,696,711,0-0,10,2019-10-26,16:00,1
3029172,684,687,1-1,10,2019-10-26,16:00,1
3029173,711,662,1-0,11,2019-11-2,13:30,1
3029174,660,680,1-1,11,2019-11-2,16:00,1
3029175,665,663,1-2,11,2019-11-2,16:00,1
3029176,703,677,2-0,11,2019-11-2,16:00,1
3029177,679,682,0-2,11,2019-11-3,15:00,1
3029178,674,675,1-1,11,2019-11-3,17:30,1
3029179,676,670,2-1,11,2019-11-2,16:00,1
3029180,687,698,3-0,11,2019-11-2,16:00,1
3029181,696,661,1-2,11,2019-11-2,18:30,1
3029182,684,664,2-3,11,2019-11-2,16:00,1
3029183,698,684,3-0,12,2019-11-9,16:00,1
3029184,661,679,2-0,12,2019-11-9,13:30,1
3029185,682,660,2-0,12,2019-11-9,18:30,1
3029186,663,676,3-1,12,2019-11-10,17:30,1
3029187,662,703,3-1,12,2019-11-10,15:00,1
3029188,664,711,2-1,12,2019-11-9,16:00,1
3029189,677,696,0-2,12,2019-11-8,21:00,1
3029190,670,674,1-2,12,2019-11-9,16:00,1
3029191,675,687,1-1,12,2019-11-9,16:00,1
3029192,680,665,2-1,12,2019-11-10,15:00,1
3029193,711,680,1-2,13,2019-11-23,16:00,1
3029194,660,670,2-2,13,2019-11-23,16:00,1
3029195,665,664,2-0,13,2019-11-25,21:00,1
3029196,703,682,0-2,13,2019-11-23,16:00,1
3029197,679,663,1-2,13,2019-11-23,16:00,1
3029198,674,677,0-2,13,2019-11-23,16:00,1
3029199,676,661,2-1,13,2019-11-23,18:30,1
3029200,687,662,3-3,13,2019-11-24,17:30,1
3029201,696,698,0-3,13,2019-11-23,16:00,1
3029202,684,675,2-3,13,2019-11-23,13:30,1
3029203,698,679,0-2,14,2019-11-30,16:00,1
3029204,661,684,0-1,14,2019-11-30,16:00,1
3029205,682,674,2-1,14,2019-12-1,17:30,1
3029206,663,703,2-1,14,2019-11-30,16:00,1
3029207,662,665,2-2,14,2019-12-1,17:30,1
3029208,664,676,2-2,14,2019-11-30,13:30,1
3029209,677,660,2-2,14,2019-12-1,15:00,1
3029210,670,696,2-1,14,2019-11-30,18:30,1
3029211,675,711,3-2,14,2019-11-30,16:00,1
3029212,680,687,1-1,14,2019-12-1,15:00,1
3029213,660,703,1-2,15,2019-12-5,21:15,1
3029214,698,676,1-4,15,2019-12-3,21:15,1
3029215,682,696,2-0,15,2019-12-4,20:30,1
3029216,662,675,2-1,15,2019-12-4,20:30,1
3029217,687,664,0-2,15,2019-12-5,20:30,1
3029218,680,684,2-0,15,2019-12-4,20:30,1
3029219,661,665,2-1,15,2019-12-4,20:30,1
3029220,679,711,1-0,15,2019-12-3,20:30,1
3029221,663,674,5-2,15,2019-12-4,21:15,1
3029222,670,677,2-1,15,2019-12-4,20:30,1
3029223,711,663,0-3,16,2019-12-7,16:00,1
3029224,665,682,1-4,16,2019-12-8,15:00,1
3029225,703,680,2-2,16,2019-12-8,17:30,1
3029226,674,661,3-1,16,2019-12-7,13:30,1
3029227,676,662,1-2,16,2019-12-7,18:30,1
3029228,664,670,2-1,16,2019-12-8,15:00,1
3029229,677,687,1-2,16,2019-12-8,15:00,1
3029230,675,698,5-0,16,2019-12-7,16:00,1
3029231,696,679,0-0,16,2019-12-7,16:00,1
3029232,684,660,1-3,16,2019-12-9,21:00,1
3029233,660,676,0-3,17,2019-12-15,17:30,1
3029234,698,664,1-0,17,2019-12-14,16:00,1
3029235,661,711,0-1,17,2019-12-14,16:00,1
3029236,679,703,1-1,17,2019-12-16,20:45,1
3029237,682,677,1-1,17,2019-12-14,16:00,1
3029238,663,696,2-0,17,2019-12-14,13:30,1
3029239,662,674,1-1,17,2019-12-15,15:00,1
3029240,687,665,2-0,17,2019-12-14,16:00,1
3029241,670,684,0-1,17,2019-12-14,18:30,1
3029242,680,675,1-2,17,2019-12-15,15:00,1
3029243,711,698,0-1,18,2019-12-21,16:00,1
3029244,665,670,1-3,18,2019-12-21,16:00,1
3029245,703,687,0-1,18,2019-12-21,16:00,1
3029246,674,660,0-0,18,2019-12-21,13:30,1
3029247,676,682,3-1,18,2019-12-21,18:30,1
3029248,664,679,1-0,18,2019-12-21,16:00,1
3029249,677,680,1-2,18,2019-12-21,16:00,1
3029250,675,661,0-2,18,2019-12-22,17:30,1
3029251,696,662,2-0,18,2019-12-22,15:00,1
3029252,684,663,0-2,18,2020-1-29,20:45,1
3029253,711,660,1-1,19,2019-12-26,16:00,1
3029254,665,677,1-0,19,2019-12-26,16:00,1
3029255,661,670,0-2,19,2019-12-26,16:00,1
3029256,679,684,2-1,19,2019-12-26,16:00,1
3029257,674,698,1-0,19,2019-12-26,16:00,1
3029258,682,663,0-4,19,2019-12-26,21:00,1
3029259,662,664,4-1,19,2019-12-26,18:30,1
3029260,687,696,1-1,19,2019-12-26,16:00,1
3029261,675,703,2-1,19,2019-12-26,13:30,1
3029262,680,676,3-2,19,2019-12-27,20:45,1
3029263,660,661,1-2,20,2019-12-29,15:00,1
3029264,703,711,2-0,20,2019-12-28,13:30,1
3029265,698,662,0-2,20,2019-12-28,20:45,1
3029266,663,680,1-0,20,2019-12-29,17:30,1
3029267,676,687,2-0,20,2019-12-29,19:00,1
3029268,664,674,1-2,20,2019-12-28,16:00,1
3029269,677,675,2-2,20,2019-12-28,18:30,1
3029270,670,679,1-1,20,2019-12-28,16:00,1
3029271,696,665,3-0,20,2019-12-28,16:00,1
3029272,684,682,1-2,20,2019-12-28,18:30,1
3029273,660,662,2-0,21,2020-1-1,21:00,1
3029274,703,661,1-1,21,2020-1-1,13:30,1
3029275,698,665,1-2,21,2020-1-1,13:30,1
3029276,663,687,2-0,21,2020-1-2,21:00,1
3029277,676,674,2-1,21,2020-1-1,18:30,1
3029278,664,682,0-3,21,2020-1-1,16:00,1
3029279,677,679,1-1,21,2020-1-1,18:30,1
3029280,670,675,1-0,21,2020-1-1,16:00,1
3029281,696,680,2-1,21,2020-1-1,16:00,1
3029282,684,711,4-0,21,2020-1-1,18:30,1
3029283,711,696,0-3,22,2020-1-12,15:00,1
3029284,665,676,1-6,22,2020-1-12,17:30,1
3029285,661,698,3-0,22,2020-1-11,16:00,1
3029286,679,660,1-1,22,2020-1-11,13:30,1
3029287,674,703,1-0,22,2020-1-11,16:00,1
3029288,682,670,1-2,22,2020-1-11,16:00,1
3029289,662,677,4-0,22,2020-1-11,16:00,1
3029290,687,684,1-0,22,2020-1-10,21:00,1
3029291,675,663,0-1,22,2020-1-11,18:30,1
3029292,680,664,1-1,22,2020-1-11,16:00,1
3029293,660,687,1-1,23,2020-1-18,16:00,1
3029294,703,665,1-1,23,2020-1-18,16:00,1
3029295,698,682,2-1,23,2020-1-19,15:00,1
3029296,663,662,2-0,23,2020-1-19,17:30,1
3029297,676,679,2-2,23,2020-1-18,16:00,1
3029298,664,661,1-0,23,2020-1-18,18:30,1
3029299,677,711,1-0,23,2020-1-18,16:00,1
3029300,670,680,2-3,23,2020-1-18,16:00,1
3029301,696,675,0-0,23,2020-1-18,13:30,1
3029302,684,674,1-1,23,2020-1-18,16:00,1
3029303,711,703,3-1,24,2020-1-21,20:30,1
3029304,665,696,2-1,24,2020-1-21,20:30,1
3029305,674,664,2-2,24,2020-1-21,20:30,1
3029306,682,684,4-1,24,2020-1-22,20:30,1
3029307,662,698,0-2,24,2020-1-22,21:15,1
3029308,687,676,0-1,24,2020-1-21,20:30,1
3029309,680,663,1-2,24,2020-1-23,21:00,1
3029310,661,660,2-2,24,2020-1-21,21:15,1
3029311,679,670,0-2,24,2020-1-21,20:30,1
3029312,675,677,2-1,24,2020-1-22,20:30,1
3029313,711,665,2-1,25,2020-2-1,16:00,1
3029314,698,660,0-0,25,2020-2-2,15:00,1
3029315,679,687,0-1,25,2020-2-1,16:00,1
3029316,682,661,2-2,25,2020-2-1,13:30,1
3029317,663,670,4-0,25,2020-2-1,16:00,1
3029318,662,680,0-0,25,2020-2-1,18:30,1
3029319,664,677,0-0,25,2020-2-1,16:00,1
3029320,675,676,2-0,25,2020-2-2,17:30,1
3029321,696,674,2-3,25,2020-2-1,16:00,1
3029322,684,703,3-3,25,2020-2-1,16:00,1
3029323,660,664,4-0,26,2020-2-16,17:30,1
3029324,665,675,2-3,26,2020-2-16,15:00,1
3029325,703,696,1-1,26,2020-2-8,18:30,1
3029326,661,662,0-2,26,2020-2-17,21:00,1
3029327,674,679,3-1,26,2020-2-8,13:30,1
3029328,676,684,2-0,26,2020-2-19,20:30,1
3029329,677,663,0-1,26,2020-2-15,18:30,1
3029330,687,711,2-1,26,2020-2-9,15:00,1
3029331,670,698,1-2,26,2020-2-15,13:30,1
3029332,680,682,0-0,26,2020-2-14,21:00,1
3029333,660,674,3-2,27,2020-2-23,17:30,1
3029334,698,711,3-0,27,2020-2-22,16:00,1
3029335,661,675,2-1,27,2020-2-22,13:30,1
3029336,679,664,1-0,27,2020-2-22,16:00,1
3029337,682,676,0-1,27,2020-2-22,18:30,1
3029338,663,684,3-2,27,2020-2-24,21:00,1
3029339,662,696,3-0,27,2020-2-23,15:00,1
3029340,687,703,1-1,27,2020-2-22,16:00,1
3029341,670,665,2-0,27,2020-2-22,16:00,1
3029342,680,677,3-0,27,2020-2-23,15:00,1
3029343,711,661,2-2,28,2020-2-29,16:00,1
3029344,665,687,Prestavljena,28,2020-2-29,,1
3029345,703,679,0-1,28,2020-2-29,13:30,1
3029346,674,662,1-1,28,2020-3-1,15:00,1
3029347,676,660,Prestavljena,28,2020-3-11,,1
3029348,664,698,0-0,28,2020-2-29,16:00,1
3029349,677,682,1-0,28,2020-2-28,21:00,1
3029350,675,680,2-3,28,2020-3-1,15:00,1
3029351,696,663,3-0,28,2020-2-29,18:30,1
3029352,684,670,3-1,28,2020-2-29,16:00,1
3029353,660,684,1-0,29,2020-3-7,16:00,1
3029354,698,675,1-1,29,2020-3-7,18:30,1
3029355,661,674,4-0,29,2020-3-8,15:00,1
3029356,679,696,1-0,29,2020-3-7,16:00,1
3029357,682,665,4-0,29,2020-3-9,21:00,1
3029358,663,711,2-1,29,2020-3-7,13:30,1
3029359,662,676,2-0,29,2020-3-8,17:30,1
3029360,687,677,1-0,29,2020-3-7,16:00,1
3029361,670,664,0-1,29,2020-3-7,16:00,1
3029362,680,703,0-0,29,2020-3-7,16:00,1
3029363,711,679,Prestavljena,30,2020-3-14,,1
3029364,665,661,Prestavljena,30,2020-3-14,,1
3029365,703,660,Prestavljena,30,2020-3-14,,1
3029366,674,663,Prestavljena,30,2020-3-16,,1
3029367,676,698,Prestavljena,30,2020-3-14,,1
3029368,664,687,Prestavljena,30,2020-3-14,,1
3029369,677,670,Prestavljena,30,2020-3-14,,1
3029370,675,662,Prestavljena,30,2020-3-15,,1
3029371,696,682,Prestavljena,30,2020-3-14,,1
3029372,684,680,Prestavljena,30,2020-3-15,,1
3029373,698,696,Prestavljena,31,2020-3-21,,1
3029374,661,676,Prestavljena,31,2020-3-21,,1
3029375,682,703,Prestavljena,31,2020-3-22,,1
3029376,663,679,Prestavljena,31,2020-3-21,,1
3029377,662,687,Prestavljena,31,2020-3-22,,1
3029378,664,665,Prestavljena,31,2020-3-21,,1
3029379,677,674,Prestavljena,31,2020-3-21,,1
3029380,670,660,Prestavljena,31,2020-3-22,,1
3029381,675,684,Prestavljena,31,2020-3-20,,1
3029382,680,711,Prestavljena,31,2020-3-22,,1
3029383,711,664,Prestavljena,32,2020-4-4,,1
3029384,660,677,Prestavljena,32,2020-4-4,,1
3029385,665,680,Prestavljena,32,2020-4-4,,1
3029386,703,662,Prestavljena,32,2020-4-4,,1
3029387,679,698,Prestavljena,32,2020-4-4,,1
3029388,674,682,Prestavljena,32,2020-4-6,,1
3029389,676,663,Prestavljena,32,2020-4-5,,1
3029390,687,675,Prestavljena,32,2020-4-4,,1
3029391,696,670,Prestavljena,32,2020-4-4,,1
3029392,684,661,Prestavljena,32,2020-4-5,,1
3029393,698,687,Prestavljena,33,2020-4-11,,1
3029394,661,696,Prestavljena,33,2020-4-12,,1
3029395,682,679,Prestavljena,33,2020-4-11,,1
3029396,663,665,Prestavljena,33,2020-4-12,,1
3029397,662,711,Prestavljena,33,2020-4-11,,1
3029398,664,684,Prestavljena,33,2020-4-10,,1
3029399,677,703,Prestavljena,33,2020-4-11,,1
3029400,670,676,Prestavljena,33,2020-4-11,,1
3029401,675,674,Prestavljena,33,2020-4-11,,1
3029402,680,660,Prestavljena,33,2020-4-13,,1
3029403,711,675,Prestavljena,34,2020-4-18,,1
3029404,660,682,Prestavljena,34,2020-4-18,,1
3029405,665,662,Prestavljena,34,2020-4-19,,1
3029406,703,663,Prestavljena,34,2020-4-20,,1
3029407,679,661,Prestavljena,34,2020-4-18,,1
3029408,674,670,Prestavljena,34,2020-4-18,,1
3029409,676,664,Prestavljena,34,2020-4-18,,1
3029410,687,680,Prestavljena,34,2020-4-19,,1
3029411,696,677,Prestavljena,34,2020-4-18,,1
3029412,684,698,Prestavljena,34,2020-4-18,,1
3029413,711,682,Prestavljena,35,2020-4-25,,1
3029414,665,679,Prestavljena,35,2020-4-27,,1
3029415,703,676,Prestavljena,35,2020-4-25,,1
3029416,663,698,Prestavljena,35,2020-4-25,,1
3029417,662,670,Prestavljena,35,2020-4-25,,1
3029418,677,684,Prestavljena,35,2020-4-25,,1
3029419,687,661,Prestavljena,35,2020-4-26,,1
3029420,675,660,Prestavljena,35,2020-4-26,,1
3029421,696,664,Prestavljena,35,2020-4-25,,1
3029422,680,674,Prestavljena,35,2020-4-25,,1
3029423,660,663,Neodigrana,36,2020-5-2,,1
3029424,698,680,Neodigrana,36,2020-5-2,,1
3029425,661,677,Neodigrana,36,2020-5-2,,1
3029426,679,662,Neodigrana,36,2020-5-2,,1
3029427,674,665,Neodigrana,36,2020-5-2,,1
3029428,682,687,Neodigrana,36,2020-5-2,,1
3029429,676,711,Neodigrana,36,2020-5-2,,1
3029430,664,675,Neodigrana,36,2020-5-2,,1
3029431,670,703,Neodigrana,36,2020-5-2,,1
3029432,684,696,Neodigrana,36,2020-5-2,,1
3029433,711,670,Neodigrana,37,2020-5-9,,1
3029434,665,660,Neodigrana,37,2020-5-9,,1
3029435,703,664,Neodigrana,37,2020-5-9,,1
3029436,663,661,Neodigrana,37,2020-5-9,,1
3029437,662,684,Neodigrana,37,2020-5-9,,1
3029438,677,698,Neodigrana,37,2020-5-9,,1
3029439,687,674,Neodigrana,37,2020-5-9,,1
3029440,675,682,Neodigrana,37,2020-5-9,,1
3029441,696,676,Neodigrana,37,2020-5-9,,1
3029442,680,679,Neodigrana,37,2020-5-9,,1
3029443,660,696,Neodigrana,38,2020-5-17,,1
3029444,698,703,Neodigrana,38,2020-5-17,,1
3029445,661,680,Neodigrana,38,2020-5-17,,1
3029446,679,675,Neodigrana,38,2020-5-17,,1
3029447,674,711,Neodigrana,38,2020-5-17,,1
3029448,682,662,Neodigrana,38,2020-5-17,,1
3029449,676,677,Neodigrana,38,2020-5-17,,1
3029450,664,663,Neodigrana,38,2020-5-17,,1
3029451,670,687,Neodigrana,38,2020-5-17,,1
3029452,684,665,Neodigrana,38,2020-5-17,,1
3111700,1256,1250,0-1,1,2019-8-25,20:45,2
3111701,1259,1270,3-4,1,2019-8-24,20:45,2
3111702,1277,1249,1-1,1,2019-8-25,20:45,2
3111703,1244,1251,4-0,1,2019-8-26,20:45,2
3111704,1243,1242,0-1,1,2019-8-24,18:00,2
3111705,1241,1276,3-3,1,2019-8-25,20:45,2
3111706,1247,1245,0-3,1,2019-8-25,20:45,2
3111707,1287,1255,2-3,1,2019-8-25,20:45,2
3111708,1268,5681,2-1,1,2019-8-25,20:45,2
3111709,1246,1240,1-0,1,2019-8-25,18:00,2
3111710,1255,1268,2-3,2,2019-9-1,20:45,2
3111711,1249,1287,1-0,2,2019-8-30,20:45,2
3111712,1256,1244,1-2,2,2019-9-1,20:45,2
3111713,1276,1259,2-1,2,2019-9-1,20:45,2
3111714,1242,1270,4-3,2,2019-8-31,20:45,2
3111715,1245,1241,1-1,2,2019-9-1,18:00,2
3111716,1251,1277,0-1,2,2019-9-1,20:45,2
3111717,1240,1250,1-0,2,2019-8-31,18:00,2
3111718,5681,1247,4-1,2,2019-9-1,20:45,2
3111719,1246,1243,1-3,2,2019-9-1,20:45,2
3111720,1250,1249,3-4,3,2019-9-15,15:00,2
3111721,1259,1242,0-0,3,2019-9-14,15:00,2
3111722,1276,1255,1-2,3,2019-9-15,12:30,2
3111723,1277,1240,0-1,3,2019-9-15,20:45,2
3111724,1244,1246,1-0,3,2019-9-14,20:45,2
3111725,1270,1247,2-0,3,2019-9-14,18:00,2
3111726,1243,1256,1-3,3,2019-9-15,15:00,2
3111727,1241,5681,4-2,3,2019-9-15,18:00,2
3111728,1287,1245,2-1,3,2019-9-15,15:00,2
3111729,1268,1251,1-2,3,2019-9-16,20:45,2
3111730,1255,1259,2-2,4,2019-9-22,18:00,2
3111731,1249,1241,1-2,4,2019-9-22,15:00,2
3111732,1256,1276,3-1,4,2019-9-20,20:45,2
3111733,1242,1277,2-1,4,2019-9-21,18:00,2
3111734,1245,1243,2-0,4,2019-9-22,20:45,2
3111735,1251,1270,1-4,4,2019-9-22,15:00,2
3111736,1240,1244,0-2,4,2019-9-21,20:45,2
3111737,1247,1268,1-0,4,2019-9-22,15:00,2
3111738,5681,1287,3-0,4,2019-9-22,12:30,2
3111739,1246,1250,0-1,4,2019-9-21,15:00,2
3111740,1250,1242,1-2,5,2019-9-24,21:00,2
3111741,1259,1247,2-1,5,2019-9-25,21:00,2
3111742,1276,1249,0-0,5,2019-9-25,21:00,2
3111743,1277,1246,0-0,5,2019-9-24,19:00,2
3111744,1244,1245,1-0,5,2019-9-25,21:00,2
3111745,1270,1256,0-1,5,2019-9-25,21:00,2
3111746,1243,5681,1-0,5,2019-9-25,21:00,2
3111747,1241,1255,0-2,5,2019-9-25,19:00,2
3111748,1287,1251,1-3,5,2019-9-25,21:00,2
3111749,1268,1240,2-1,5,2019-9-26,21:00,2
3111750,1256,1277,1-1,6,2019-9-29,18:00,2
3111751,1242,1287,2-0,6,2019-9-28,15:00,2
3111752,1245,1276,4-0,6,2019-9-29,15:00,2
3111753,1251,1241,0-1,6,2019-9-29,15:00,2
3111754,1240,1259,1-3,6,2019-9-29,20:45,2
3111755,1270,1250,2-1,6,2019-9-29,12:30,2
3111756,1243,1268,3-2,6,2019-9-30,20:45,2
3111757,1247,1244,1-3,6,2019-9-28,18:00,2
3111758,5681,1255,1-4,6,2019-9-28,20:45,2
3111759,1246,1249,1-0,6,2019-9-29,15:00,2
3111760,1255,1251,3-1,7,2019-10-6,15:00,2
3111761,1249,1245,2-2,7,2019-10-6,15:00,2
3111762,1250,5681,0-2,7,2019-12-18,20:45,2
3111763,1259,1246,1-0,7,2019-10-6,12:30,2
3111764,1276,1240,1-2,7,2019-10-5,20:45,2
3111765,1277,1247,2-0,7,2019-10-5,18:00,2
3111766,1244,1242,1-2,7,2019-10-6,20:45,2
3111767,1241,1256,1-1,7,2019-10-6,15:00,2
3111768,1287,1243,1-0,7,2019-10-5,15:00,2
3111769,1268,1270,0-0,7,2019-10-6,18:00,2
3111770,1250,1259,0-0,8,2019-10-21,21:00,2
3111771,1256,1287,2-0,8,2019-10-20,15:00,2
3111772,1242,1249,2-1,8,2019-10-19,20:45,2
3111773,1245,1255,3-3,8,2019-10-19,15:00,2
3111774,1240,1251,2-2,8,2019-10-20,20:45,2
3111775,1270,1277,2-0,8,2019-10-19,18:00,2
3111776,1243,1276,5-1,8,2019-10-20,18:00,2
3111777,1247,1241,0-0,8,2019-10-20,15:00,2
3111778,5681,1244,3-4,8,2019-10-20,12:30,2
3111779,1246,1268,1-0,8,2019-10-20,15:00,2
3111780,1255,1246,7-1,9,2019-10-27,15:00,2
3111781,1249,1247,2-1,9,2019-10-27,12:30,2
3111782,1259,1245,1-2,9,2019-10-27,20:45,2
