stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3059108,2021,2017,Neodigrana,30,2020-4-5,,4
3059109,2015,2022,Neodigrana,30,2020-4-5,,4
3059110,2037,2022,Neodigrana,31,2020-4-12,,4
3059111,2017,2019,Neodigrana,31,2020-4-12,,4
3059112,2025,2032,Neodigrana,31,2020-4-12,,4
3059113,2042,2015,Neodigrana,31,2020-4-12,,4
3059114,2053,7072,Neodigrana,31,2020-4-12,,4
3059115,2036,2020,Neodigrana,31,2020-4-12,,4
3059116,2016,2027,Neodigrana,31,2020-4-12,,4
3059117,2028,2033,Neodigrana,31,2020-4-12,,4
3059118,2023,2021,Neodigrana,31,2020-4-12,,4
3059119,2031,2039,Neodigrana,31,2020-4-12,,4
3059120,2019,2027,Neodigrana,32,2020-4-22,,4
3059121,2020,2037,Neodigrana,32,2020-4-22,,4
3059122,2033,2017,Neodigrana,32,2020-4-22,,4
3059123,2032,2016,Neodigrana,32,2020-4-22,,4
3059124,2039,2028,Neodigrana,32,2020-4-22,,4
3059125,7072,2042,Neodigrana,32,2020-4-22,,4
3059126,2036,2025,Neodigrana,32,2020-4-22,,4
3059127,2022,2053,Neodigrana,32,2020-4-22,,4
3059128,2021,2031,Neodigrana,32,2020-4-22,,4
3059129,2023,2015,Neodigrana,32,2020-4-22,,4
3059130,2037,7072,Neodigrana,33,2020-4-26,,4
3059131,2017,2020,Neodigrana,33,2020-4-26,,4
3059132,2025,2023,Neodigrana,33,2020-4-26,,4
3059133,2042,2022,Neodigrana,33,2020-4-26,,4
3059134,2053,2021,Neodigrana,33,2020-4-26,,4
3059135,2027,2033,Neodigrana,33,2020-4-26,,4
3059136,2016,2039,Neodigrana,33,2020-4-26,,4
3059137,2028,2032,Neodigrana,33,2020-4-26,,4
3059138,2015,2019,Neodigrana,33,2020-4-26,,4
3059139,2031,2036,Neodigrana,33,2020-4-26,,4
3059140,2019,2016,Neodigrana,34,2020-5-3,,4
3059141,2020,2027,Neodigrana,34,2020-5-3,,4
3059142,2033,2025,Neodigrana,34,2020-5-3,,4
3059143,2032,2053,Neodigrana,34,2020-5-3,,4
3059144,7072,2015,Neodigrana,34,2020-5-3,,4
3059145,2036,2028,Neodigrana,34,2020-5-3,,4
3059146,2022,2039,Neodigrana,34,2020-5-3,,4
3059147,2021,2042,Neodigrana,34,2020-5-3,,4
3059148,2023,2017,Neodigrana,34,2020-5-3,,4
3059149,2031,2037,Neodigrana,34,2020-5-3,,4
3059150,2019,2021,Neodigrana,35,2020-5-10,,4
3059151,2017,2032,Neodigrana,35,2020-5-10,,4
3059152,2025,2022,Neodigrana,35,2020-5-10,,4
3059153,2033,2020,Neodigrana,35,2020-5-10,,4
3059154,2042,2053,Neodigrana,35,2020-5-10,,4
3059155,2039,2023,Neodigrana,35,2020-5-10,,4
3059156,2027,2036,Neodigrana,35,2020-5-10,,4
3059157,2016,2037,Neodigrana,35,2020-5-10,,4
3059158,2028,7072,Neodigrana,35,2020-5-10,,4
3059159,2015,2031,Neodigrana,35,2020-5-10,,4
3059160,2037,2039,Neodigrana,36,2020-5-13,,4
3059161,2020,2025,Neodigrana,36,2020-5-13,,4
3059162,2032,2042,Neodigrana,36,2020-5-13,,4
3059163,7072,2016,Neodigrana,36,2020-5-13,,4
3059164,2053,2015,Neodigrana,36,2020-5-13,,4
3059165,2036,2019,Neodigrana,36,2020-5-13,,4
3059166,2022,2033,Neodigrana,36,2020-5-13,,4
3059167,2021,2027,Neodigrana,36,2020-5-13,,4
3059168,2023,2028,Neodigrana,36,2020-5-13,,4
3059169,2031,2017,Neodigrana,36,2020-5-13,,4
3059170,2019,2053,Neodigrana,37,2020-5-17,,4
3059171,2017,2022,Neodigrana,37,2020-5-17,,4
3059172,2025,2037,Neodigrana,37,2020-5-17,,4
3059173,2033,2036,Neodigrana,37,2020-5-17,,4
3059174,2042,2031,Neodigrana,37,2020-5-17,,4
3059175,2039,2020,Neodigrana,37,2020-5-17,,4
3059176,2027,7072,Neodigrana,37,2020-5-17,,4
3059177,2016,2023,Neodigrana,37,2020-5-17,,4
3059178,2028,2021,Neodigrana,37,2020-5-17,,4
3059179,2015,2032,Neodigrana,37,2020-5-17,,4
3059180,2037,2017,Neodigrana,38,2020-5-24,,4
3059181,2020,2028,Neodigrana,38,2020-5-24,,4
3059182,2032,2033,Neodigrana,38,2020-5-24,,4
3059183,7072,2019,Neodigrana,38,2020-5-24,,4
3059184,2053,2016,Neodigrana,38,2020-5-24,,4
3059185,2036,2039,Neodigrana,38,2020-5-24,,4
3059186,2022,2027,Neodigrana,38,2020-5-24,,4
3059187,2021,2015,Neodigrana,38,2020-5-24,,4
3059188,2023,2042,Neodigrana,38,2020-5-24,,4
3059189,2031,2025,Neodigrana,38,2020-5-24,,4
3030547,923,901,1-2,1,2019-8-10,20:00,5
3030548,890,921,0-2,1,2019-8-10,17:30,5
3030549,894,908,2-1,1,2019-8-10,20:00,5
3030550,898,896,1-1,1,2019-8-11,17:00,5
3030551,906,893,0-1,1,2019-8-10,20:00,5
3030552,918,891,3-1,1,2019-8-10,20:00,5
3030553,895,889,2-1,1,2019-8-11,15:00,5
3030554,886,932,3-0,1,2019-8-11,21:00,5
3030555,922,899,1-1,1,2019-8-10,20:00,5
3030556,885,884,0-3,1,2019-8-9,20:45,5
3030557,896,885,3-0,2,2019-8-17,20:00,5
3030558,899,923,1-0,2,2019-8-17,20:00,5
3030559,884,918,6-0,2,2019-8-16,20:45,5
3030560,901,922,1-1,2,2019-8-18,15:00,5
3030561,932,894,1-2,2,2019-8-17,20:00,5
3030562,889,890,0-0,2,2019-8-17,17:30,5
3030563,908,895,1-0,2,2019-8-17,20:00,5
3030564,891,906,1-1,2,2019-8-17,20:00,5
3030565,921,898,0-0,2,2019-8-18,17:00,5
3030566,893,886,2-1,2,2019-8-18,21:00,5
3030567,886,899,4-0,3,2019-8-25,21:00,5
3030568,908,889,1-2,3,2019-8-24,20:00,5
3030569,923,891,0-2,3,2019-8-24,20:00,5
3030570,918,896,3-0,3,2019-8-24,20:00,5
3030571,885,932,2-2,3,2019-8-25,15:00,5
3030572,894,890,1-2,3,2019-8-28,21:00,5
3030573,895,901,3-0,3,2019-8-28,19:00,5
3030574,906,884,1-0,3,2019-8-27,19:00,5
3030575,898,893,0-2,3,2019-8-25,17:00,5
3030576,922,921,1-0,3,2019-8-24,20:00,5
3030577,918,923,2-0,4,2019-8-31,20:00,5
3030578,899,908,2-0,4,2019-8-31,20:00,5
3030579,921,895,2-0,4,2019-9-1,15:00,5
3030580,893,894,1-2,4,2019-9-1,15:00,5
3030581,889,906,1-0,4,2019-8-31,20:00,5
3030582,884,891,1-1,4,2019-8-31,17:30,5
3030583,890,901,1-0,4,2019-9-1,21:00,5
3030584,932,922,3-0,4,2019-8-31,20:00,5
3030585,896,886,0-2,4,2019-8-30,20:45,5
3030586,898,885,2-2,4,2019-9-1,17:00,5
3030587,923,932,0-0,5,2019-9-14,20:00,5
3030588,889,921,1-0,5,2019-9-15,15:00,5
3030589,906,894,2-1,5,2019-9-14,20:00,5
3030590,922,893,0-0,5,2019-9-14,20:00,5
3030591,885,890,3-4,5,2019-9-15,21:00,5
3030592,901,899,2-2,5,2019-9-15,17:00,5
3030593,895,918,2-1,5,2019-9-13,19:00,5
3030594,891,896,2-0,5,2019-9-14,20:00,5
3030595,908,884,2-2,5,2019-9-13,20:45,5
3030596,886,898,1-0,5,2019-9-14,17:30,5
3030597,921,885,0-0,6,2019-9-21,20:00,5
3030598,896,908,1-2,6,2019-9-21,20:00,5
3030599,884,886,0-1,6,2019-9-22,21:00,5
3030600,891,922,2-2,6,2019-9-21,20:00,5
3030601,898,889,2-1,6,2019-9-20,20:45,5
3030602,890,906,1-1,6,2019-9-21,17:30,5
3030603,932,899,1-0,6,2019-9-21,20:00,5
3030604,918,901,4-1,6,2019-9-22,17:00,5
3030605,893,895,1-1,6,2019-9-22,15:00,5
3030606,894,923,2-1,6,2019-9-21,20:00,5
3030607,885,894,3-1,7,2019-9-24,21:00,5
3030608,922,884,2-2,7,2019-9-25,19:00,5
3030609,889,893,1-0,7,2019-9-25,19:00,5
3030610,886,921,0-2,7,2019-9-25,21:00,5
3030611,901,896,0-1,7,2019-9-25,19:00,5
3030612,906,932,1-0,7,2019-9-25,19:00,5
3030613,923,890,0-0,7,2019-9-24,19:00,5
3030614,899,918,0-2,7,2019-9-25,19:00,5
3030615,895,898,2-0,7,2019-9-25,19:00,5
3030616,908,891,1-3,7,2019-9-25,19:00,5
3030617,894,895,1-1,8,2019-9-28,20:00,5
3030618,891,886,0-1,8,2019-9-28,17:30,5
3030619,918,908,1-1,8,2019-9-28,20:00,5
3030620,885,922,4-1,8,2019-9-28,20:00,5
3030621,896,899,2-2,8,2019-9-28,20:00,5
3030622,884,889,0-1,8,2019-9-28,13:30,5
3030623,898,906,1-0,8,2019-9-29,15:00,5
3030624,890,893,1-1,8,2019-9-29,21:00,5
3030625,932,901,0-1,8,2019-9-29,17:00,5
3030626,921,923,1-2,8,2019-9-28,20:00,5
3030627,893,921,0-1,9,2019-10-6,17:00,5
3030628,923,898,1-0,9,2019-10-5,20:00,5
3030629,908,890,3-1,9,2019-10-4,20:45,5
3030630,906,885,3-1,9,2019-10-5,20:00,5
3030631,895,932,2-2,9,2019-10-6,15:00,5
3030632,886,918,4-0,9,2019-10-5,17:30,5
3030633,899,891,1-3,9,2019-10-5,20:00,5
3030634,922,896,2-0,9,2019-10-5,20:00,5
3030635,901,884,1-0,9,2019-10-6,21:00,5
3030636,889,894,1-0,9,2019-10-5,20:00,5
3030637,921,906,1-0,10,2019-10-19,20:00,5
3030638,918,922,0-1,10,2019-10-19,20:00,5
3030639,896,889,1-0,10,2019-10-19,20:00,5
3030640,899,895,2-1,10,2019-10-19,20:00,5
3030641,894,886,1-4,10,2019-10-18,20:45,5
3030642,891,901,0-1,10,2019-10-20,15:00,5
3030643,932,908,1-1,10,2019-10-19,20:00,5
3030644,890,898,2-0,10,2019-10-20,21:00,5
3030645,884,923,0-0,10,2019-10-19,17:30,5
3030646,885,893,3-2,10,2019-10-20,17:00,5
3030647,898,894,1-0,11,2019-10-26,20:00,5
3030648,893,899,3-2,11,2019-10-27,15:00,5
3030649,901,908,2-2,11,2019-10-27,17:00,5
3030650,922,923,2-0,11,2019-10-26,20:00,5
3030651,884,896,2-0,11,2019-10-26,20:00,5
3030652,886,890,4-0,11,2019-10-27,21:00,5
3030653,889,885,0-1,11,2019-10-25,20:45,5
3030654,921,932,0-0,11,2019-10-26,20:00,5
3030655,906,918,0-0,11,2019-10-26,20:00,5
3030656,895,891,3-0,11,2019-10-26,17:30,5
3030657,891,889,2-0,12,2019-11-3,15:00,5
3030658,932,893,0-1,12,2020-1-15,19:00,5
3030659,890,895,2-1,12,2019-11-2,17:30,5
3030660,901,885,1-0,12,2019-11-3,21:00,5
3030661,896,906,2-2,12,2019-11-2,20:00,5
3030662,899,884,2-3,12,2019-11-2,20:00,5
3030663,923,886,2-1,12,2019-11-1,20:45,5
3030664,918,898,1-0,12,2019-11-2,20:00,5
3030665,908,922,1-0,12,2019-11-2,20:00,5
3030666,894,921,2-0,12,2019-11-3,17:00,5
3030667,890,884,2-1,13,2019-11-10,21:00,5
3030668,906,899,3-0,13,2019-11-10,17:00,5
3030669,894,891,1-1,13,2019-11-8,20:45,5
3030670,885,923,1-0,13,2019-11-9,20:00,5
3030671,893,908,3-1,13,2019-11-10,15:00,5
3030672,895,896,0-0,13,2019-11-9,20:00,5
3030673,922,886,1-2,13,2019-11-9,17:30,5
3030674,921,918,0-0,13,2019-11-9,20:00,5
3030675,898,932,4-1,13,2019-11-9,20:00,5
3030676,889,901,2-3,13,2019-11-10,17:05,5
3030677,899,890,0-2,14,2019-11-24,21:00,5
3030678,886,895,2-0,14,2019-11-22,20:45,5
3030679,884,894,2-1,14,2019-11-23,17:30,5
3030680,922,889,1-1,14,2019-11-23,20:00,5
3030681,891,885,2-1,14,2019-11-24,15:00,5
3030682,896,921,1-1,14,2019-11-23,20:00,5
3030683,901,906,0-0,14,2019-11-24,17:00,5
3030684,908,898,0-4,14,2019-11-23,20:00,5
3030685,918,932,1-0,14,2019-11-23,20:00,5
3030686,923,893,2-1,14,2019-11-23,20:00,5
3030687,898,884,1-2,15,2019-11-30,17:30,5
3030688,921,891,1-1,15,2019-11-30,20:00,5
3030689,885,886,1-4,15,2020-1-15,21:00,5
3030690,932,896,1-1,15,2019-11-30,20:00,5
3030691,889,899,2-1,15,2019-12-1,15:00,5
3030692,893,901,2-1,15,2019-12-1,17:00,5
3030693,890,922,2-1,15,2019-11-29,20:45,5
3030694,906,908,4-2,15,2019-11-30,20:00,5
3030695,895,923,1-0,15,2019-11-30,20:00,5
3030696,894,918,3-1,15,2019-11-30,20:00,5
3030697,886,889,2-0,16,2019-12-4,21:05,5
3030698,891,932,6-0,16,2019-12-3,19:00,5
3030699,901,894,4-1,16,2019-12-4,19:00,5
3030700,923,906,2-2,16,2019-12-4,19:00,5
3030701,908,921,1-1,16,2020-1-15,19:00,5
3030702,884,895,0-1,16,2019-12-3,21:05,5
3030703,918,890,0-2,16,2019-12-3,19:00,5
3030704,922,898,5-0,16,2019-12-3,19:00,5
3030705,899,885,1-2,16,2019-12-4,19:00,5
3030706,896,893,0-1,16,2019-12-4,19:00,5
3030707,932,884,0-4,17,2019-12-6,20:45,5
3030708,894,896,4-1,17,2019-12-7,20:00,5
3030709,906,886,1-3,17,2019-12-7,17:30,5
3030710,893,918,2-1,17,2019-12-7,20:00,5
3030711,921,901,3-1,17,2019-12-8,15:00,5
3030712,889,923,1-0,17,2019-12-8,17:00,5
3030713,898,899,4-2,17,2019-12-7,20:00,5
3030714,890,891,3-1,17,2019-12-8,21:00,5
3030715,885,908,3-0,17,2019-12-7,20:00,5
3030716,895,922,1-0,17,2019-12-6,19:00,5
3030717,932,889,0-1,18,2019-12-14,20:00,5
3030718,901,886,0-4,18,2019-12-15,21:00,5
3030719,884,893,0-1,18,2019-12-15,17:00,5
3030720,918,885,0-0,18,2019-12-14,20:00,5
3030721,891,898,0-1,18,2019-12-15,15:00,5
3030722,899,921,0-1,18,2019-12-14,20:00,5
3030723,895,906,2-1,18,2019-12-13,20:45,5
3030724,896,890,1-1,18,2019-12-14,17:30,5
3030725,908,923,1-1,18,2019-12-14,20:00,5
3030726,922,894,0-0,18,2019-12-14,20:00,5
3030727,906,922,4-0,19,2019-12-21,20:45,5
3030728,923,896,2-2,19,2019-12-21,20:45,5
3030729,893,891,1-0,19,2019-12-21,20:45,5
3030730,898,901,2-1,19,2019-12-21,20:45,5
3030731,885,895,5-1,19,2019-12-21,20:45,5
3030732,921,884,1-1,19,2019-12-21,20:45,5
3030733,889,918,1-2,19,2019-12-21,20:45,5
3030734,894,899,3-0,19,2019-12-21,20:45,5
3030735,886,908,4-1,19,2019-12-21,20:45,5
3030736,890,932,3-1,19,2019-12-21,20:45,5
3030737,899,922,2-5,20,2020-1-11,20:00,5
3030738,908,906,1-2,20,2020-1-11,20:00,5
3030739,891,884,1-2,20,2020-1-11,17:30,5
3030740,918,894,1-1,20,2020-1-11,20:00,5
3030741,893,890,0-1,20,2020-1-10,20:45,5
3030742,932,921,2-0,20,2020-1-11,20:00,5
3030743,896,898,1-0,20,2020-1-11,20:00,5
3030744,923,895,1-0,20,2020-1-12,17:00,5
3030745,886,885,3-3,20,2020-1-12,21:00,5
3030746,901,889,0-2,20,2020-1-12,15:00,5
3030747,922,908,2-1,21,2020-1-25,20:00,5
3030748,885,898,1-3,21,2020-1-25,20:00,5
3030749,890,918,0-0,21,2020-1-25,17:30,5
3030750,906,923,2-1,21,2020-1-25,20:00,5
3030751,921,896,0-1,21,2020-1-25,20:00,5
3030752,889,891,0-1,21,2020-1-26,17:00,5
3030753,894,893,1-1,21,2020-1-24,20:45,5
3030754,884,899,3-0,21,2020-1-26,15:00,5
3030755,895,886,0-2,21,2020-1-26,21:00,5
3030756,901,932,2-1,21,2020-1-25,20:00,5
3030757,893,889,3-2,22,2020-1-31,20:45,5
3030758,894,884,2-1,22,2020-2-2,15:00,5
3030759,923,922,3-0,22,2020-2-1,20:00,5
3030760,932,885,3-1,22,2020-2-1,20:00,5
3030761,886,906,5-0,22,2020-2-1,17:30,5
3030762,918,921,1-4,22,2020-2-1,20:00,5
3030763,898,895,1-2,22,2020-2-1,20:00,5
3030764,908,899,0-0,22,2020-2-1,20:00,5
3030765,891,890,0-0,22,2020-2-2,21:00,5
3030766,896,901,3-1,22,2020-2-2,17:00,5
3030767,889,886,1-2,23,2020-2-4,21:05,5
3030768,899,898,0-1,23,2020-2-5,19:00,5
3030769,901,890,0-2,23,2020-2-5,21:15,5
3030770,921,894,1-1,23,2020-2-5,19:00,5
3030771,932,923,2-0,23,2020-2-5,19:00,5
3030772,906,896,1-1,23,2020-2-5,19:00,5
3030773,895,893,1-0,23,2020-2-4,19:00,5
3030774,885,918,1-0,23,2020-2-4,19:00,5
3030775,884,908,0-0,23,2020-2-5,19:00,5
3030776,922,891,1-1,23,2020-2-5,19:00,5
3030777,893,922,0-0,24,2020-2-8,20:00,5
3030778,886,884,4-2,24,2020-2-9,21:05,5
3030779,906,901,1-0,24,2020-2-9,15:00,5
3030780,923,889,3-3,24,2020-2-8,20:00,5
3030781,918,895,0-2,24,2020-2-7,20:45,5
3030782,908,885,1-2,24,2020-2-8,20:00,5
3030783,894,932,1-3,24,2020-2-8,20:00,5
3030784,890,899,1-0,24,2020-2-8,17:30,5
3030785,896,891,1-2,24,2020-2-8,20:00,5
3030786,898,921,3-0,24,2020-2-9,17:00,5
3030787,908,886,4-4,25,2020-2-15,17:30,5
3030788,891,923,2-2,25,2020-2-15,20:00,5
3030789,922,901,3-2,25,2020-2-16,17:00,5
3030790,889,896,0-0,25,2020-2-15,20:00,5
3030791,899,894,0-2,25,2020-2-15,20:00,5
3030792,884,898,1-1,25,2020-2-16,15:00,5
3030793,885,906,1-0,25,2020-2-14,20:45,5
3030794,895,890,1-2,25,2020-2-16,21:00,5
3030795,932,918,1-0,25,2020-2-15,20:00,5
3030796,921,893,1-0,25,2020-2-16,17:00,5
3030797,896,884,0-2,26,2020-2-21,20:45,5
3030798,893,932,2-1,26,2020-2-23,17:00,5
3030799,894,922,2-2,26,2020-2-21,19:00,5
3030800,895,899,3-0,26,2020-2-22,20:00,5
3030801,923,885,1-1,26,2020-2-22,20:00,5
3030802,901,921,1-1,26,2020-2-23,15:00,5
3030803,890,889,1-3,26,2020-2-22,17:30,5
3030804,886,891,4-3,26,2020-2-23,21:00,5
3030805,898,908,0-0,26,2020-2-22,20:00,5
3030806,918,906,1-0,26,2020-2-22,20:00,5
3030807,884,901,2-0,27,2020-3-1,21:00,5
3030808,908,896,0-1,27,2020-2-29,20:00,5
3030809,922,918,0-1,27,2020-2-29,20:00,5
3030810,891,894,1-1,27,2020-3-1,17:05,5
3030811,886,923,4-0,27,2020-2-29,17:30,5
3030812,899,893,0-2,27,2020-2-29,20:00,5
3030813,885,921,1-1,27,2020-2-29,20:00,5
3030814,932,890,2-3,27,2020-2-28,20:45,5
3030815,906,898,3-0,27,2020-2-29,20:00,5
3030816,889,895,0-1,27,2020-3-1,15:00,5
3030817,894,885,2-1,28,2020-3-7,20:00,5
3030818,898,886,Prestavljena,28,2020-3-18,,5
3030819,923,899,2-1,28,2020-3-7,20:00,5
3030820,895,884,1-0,28,2020-3-8,21:00,5
3030821,901,891,1-1,28,2020-3-8,15:00,5
3030822,918,889,2-0,28,2020-3-7,20:00,5
3030823,890,908,2-2,28,2020-3-6,21:00,5
3030824,896,932,2-1,28,2020-3-7,20:00,5
3030825,893,906,5-0,28,2020-3-8,17:00,5
3030826,921,922,1-0,28,2020-3-7,20:00,5
3030827,886,894,Prestavljena,29,2020-3-15,,5
3030828,884,921,Prestavljena,29,2020-3-13,,5
3030829,889,932,Prestavljena,29,2020-3-14,,5
3030830,908,918,Prestavljena,29,2020-3-14,,5
3030831,899,896,Prestavljena,29,2020-3-14,,5
3030832,922,895,Prestavljena,29,2020-3-14,,5
3030833,891,893,Prestavljena,29,2020-3-15,,5
3030834,885,901,Prestavljena,29,2020-3-15,,5
3030835,898,923,Prestavljena,29,2020-3-14,,5
3030836,906,890,Prestavljena,29,2020-3-14,,5
3030837,894,906,Prestavljena,30,2020-3-21,,5
3030838,896,922,Prestavljena,30,2020-3-21,,5
3030839,895,885,Prestavljena,30,2020-3-20,,5
3030840,921,889,Prestavljena,30,2020-3-22,,5
3030841,890,886,Prestavljena,30,2020-3-22,,5
3030842,901,898,Prestavljena,30,2020-3-22,,5
3030843,932,891,Prestavljena,30,2020-3-21,,5
3030844,918,899,Prestavljena,30,2020-3-21,,5
3030845,893,884,Prestavljena,30,2020-3-21,,5
3030846,923,908,Prestavljena,30,2020-3-21,,5
3030847,906,895,Prestavljena,31,2020-4-4,,5
3030848,922,890,Prestavljena,31,2020-4-5,,5
3030849,899,901,Prestavljena,31,2020-4-4,,5
3030850,884,932,Prestavljena,31,2020-4-5,,5
3030851,885,889,Prestavljena,31,2020-4-5,,5
3030852,891,921,Prestavljena,31,2020-4-5,,5
3030853,886,896,Prestavljena,31,2020-4-5,,5
3030854,923,894,Prestavljena,31,2020-4-5,,5
3030855,908,893,Prestavljena,31,2020-4-5,,5
3030856,898,918,Prestavljena,31,2020-4-5,,5
3030857,889,884,Neodigrana,32,2020-4-11,,5
3030858,918,886,Neodigrana,32,2020-4-11,,5
3030859,890,923,Neodigrana,32,2020-4-11,,5
3030860,896,895,Neodigrana,32,2020-4-11,,5
3030861,932,906,Neodigrana,32,2020-4-11,,5
3030862,894,898,Neodigrana,32,2020-4-11,,5
3030863,891,908,Neodigrana,32,2020-4-11,,5
3030864,922,885,Neodigrana,32,2020-4-11,,5
3030865,921,899,Neodigrana,32,2020-4-11,,5
3030866,901,893,Neodigrana,32,2020-4-11,,5
3030867,899,889,Neodigrana,33,2020-4-18,,5
3030868,885,891,Neodigrana,33,2020-4-18,,5
3030869,906,921,Neodigrana,33,2020-4-18,,5
3030870,908,932,Neodigrana,33,2020-4-18,,5
3030871,886,901,Neodigrana,33,2020-4-18,,5
3030872,895,894,Neodigrana,33,2020-4-18,,5
3030873,898,922,Neodigrana,33,2020-4-18,,5
3030874,884,890,Neodigrana,33,2020-4-19,,5
3030875,893,896,Neodigrana,33,2020-4-18,,5
3030876,923,918,Neodigrana,33,2020-4-18,,5
3030877,884,885,Neodigrana,34,2020-4-26,,5
3030878,891,899,Neodigrana,34,2020-4-26,,5
3030879,893,898,Neodigrana,34,2020-4-26,,5
3030880,901,918,Neodigrana,34,2020-4-26,,5
3030881,889,908,Neodigrana,34,2020-4-26,,5
3030882,921,886,Neodigrana,34,2020-4-26,,5
3030883,896,923,Neodigrana,34,2020-4-26,,5
3030884,932,895,Neodigrana,34,2020-4-26,,5
3030885,890,894,Neodigrana,34,2020-4-26,,5
3030886,922,906,Neodigrana,34,2020-4-26,,5
3030887,886,922,Neodigrana,35,2020-5-2,,5
3030888,923,884,Neodigrana,35,2020-5-2,,5
3030889,885,896,Neodigrana,35,2020-5-2,,5
3030890,895,921,Neodigrana,35,2020-5-2,,5
3030891,906,891,Neodigrana,35,2020-5-2,,5
3030892,894,889,Neodigrana,35,2020-5-2,,5
3030893,908,901,Neodigrana,35,2020-5-2,,5
3030894,898,890,Neodigrana,35,2020-5-2,,5
3030895,899,932,Neodigrana,35,2020-5-2,,5
3030896,918,893,Neodigrana,35,2020-5-2,,5
3030897,901,895,Neodigrana,36,2020-5-9,,5
3030898,921,908,Neodigrana,36,2020-5-9,,5
3030899,891,918,Neodigrana,36,2020-5-9,,5
3030900,932,898,Neodigrana,36,2020-5-9,,5
3030901,899,886,Neodigrana,36,2020-5-9,,5
3030902,893,923,Neodigrana,36,2020-5-9,,5
3030903,896,894,Neodigrana,36,2020-5-9,,5
3030904,889,922,Neodigrana,36,2020-5-9,,5
3030905,890,885,Neodigrana,36,2020-5-9,,5
3030906,884,906,Neodigrana,36,2020-5-9,,5
3030907,923,921,Neodigrana,37,2020-5-16,,5
3030908,895,908,Neodigrana,37,2020-5-16,,5
3030909,898,891,Neodigrana,37,2020-5-16,,5
3030910,886,893,Neodigrana,37,2020-5-16,,5
3030911,922,932,Neodigrana,37,2020-5-16,,5
3030912,894,901,Neodigrana,37,2020-5-16,,5
3030913,890,896,Neodigrana,37,2020-5-16,,5
3030914,918,884,Neodigrana,37,2020-5-16,,5
3030915,906,889,Neodigrana,37,2020-5-16,,5
3030916,885,899,Neodigrana,37,2020-5-16,,5
3030917,893,885,Neodigrana,38,2020-5-23,,5
3030918,896,918,Neodigrana,38,2020-5-23,,5
3030919,899,906,Neodigrana,38,2020-5-23,,5
3030920,932,886,Neodigrana,38,2020-5-23,,5
3030921,889,898,Neodigrana,38,2020-5-23,,5
3030922,901,923,Neodigrana,38,2020-5-23,,5
3030923,908,894,Neodigrana,38,2020-5-23,,5
3030924,921,890,Neodigrana,38,2020-5-23,,5
3030925,891,895,Neodigrana,38,2020-5-23,,5
3030926,884,922,Neodigrana,38,2020-5-23,,5
